Task ID: 305
Task Name: STRATEGYQA_test_305

Question:
Does New Year's Day always occur on a Wednesday?

Correct Answer: No

====================================================================================================

SIMULATION RUN
----------------------------------------------------------------------------------------------------
Initial answers:
  Person 1 answered: No
    Reasoning: The year 2000 is not a leap year, and New Year's Day falls on January 1, which is a Saturday.
The year 2001 is a leap year, and New Year's Day falls on January 1, which is a Sunday.
The year 2002 is not a leap year, and New Year's Day falls on January 1, which is a Tuesday.
The year 2003 is not a leap year, and New Year's Day falls on January 1, which is a Wednesday.
The year 2004 is a leap year, and New Year's Day falls on January 1, which is a Friday.
The year 2005 is not a leap year, and New Year's Day falls on January 1, which is a Saturday.
The year 2006 is not a leap year, and New Year's Day falls on January 1, which is a Sunday.
The year 2007 is not a leap year, and New Year's Day falls on January 1, which is a Monday.
The year 2008 is a leap year, and New Year's Day falls on January 1, which is a Tuesday.
The year 2009 is not a leap year, and New Year's Day falls on January 1, which is a Wednesday.
The year 2010 is not a leap year, and New Year's Day falls on January 1, which is a Friday.
The year 2011 is not a leap year, and New Year's Day falls on January 1, which is a Saturday.
The year 2012 is a leap year, and New Year's Day falls on January 1, which is a Sunday.
The year 2013 is not a leap year, and New Year's Day falls on January 1, which is a Tuesday.
The year 2014 is not a leap year, and New Year's Day falls on January 1, which is a Wednesday.
The year 2015 is not a leap year, and New Year's Day falls on January 1, which is a Thursday.
The year 2016 is a leap year, and New Year's Day falls on January 1, which is a Friday.
The year 2017 is not a leap year, and New Year's Day falls on January 1, which is a Saturday.
The year 2018 is not a leap year, and New Year's Day falls on January 1, which is a Sunday.
The year 2019 is not a leap year, and New Year's Day falls on January 1, which is a Tuesday.
The year 2020 is a leap year, and New Year's Day falls on January 1, which is a Wednesday.
The year 2021 is not a leap year, and New Year's Day falls on January 1, which is a Friday.
The year 2022 is not a leap year, and New Year's Day falls on January 1, which is a Saturday.
The year 2023 is not a leap year, and New Year's Day falls on January 1, which is a Sunday.
The year 2024 is a leap year, and New Year's Day falls on January 1, which is a Monday.
The year 2025 is not a leap year, and New Year's Day falls on January 1, which is a Tuesday.
The year 2026 is not a leap year, and New Year's Day falls on January 1, which is a Wednesday
  Person 2 answered: No
    Reasoning: The year 2000 is not a leap year, and New Year's Day falls on January 1, which is a Saturday.
The year 2001 is a leap year, and New Year's Day falls on January 1, which is a Sunday.
The year 2002 is not a leap year, and New Year's Day falls on January 1, which is a Tuesday.
The year 2003 is not a leap year, and New Year's Day falls on January 1, which is a Wednesday.
The year 2004 is a leap year, and New Year's Day falls on January 1, which is a Friday.
The year 2005 is not a leap year, and New Year's Day falls on January 1, which is a Saturday.
The year 2006 is not a leap year, and New Year's Day falls on January 1, which is a Sunday.
The year 2007 is not a leap year, and New Year's Day falls on January 1, which is a Monday.
The year 2008 is a leap year, and New Year's Day falls on January 1, which is a Tuesday.
The year 2009 is not a leap year, and New Year's Day falls on January 1, which is a Wednesday.
The year 2010 is not a leap year, and New Year's Day falls on January 1, which is a Friday.
The year 2011 is not a leap year, and New Year's Day falls on January 1, which is a Saturday.
The year 2012 is a leap year, and New Year's Day falls on January 1, which is a Sunday.
The year 2013 is not a leap year, and New Year's Day falls on January 1, which is a Tuesday.
The year 2014 is not a leap year, and New Year's Day falls on January 1, which is a Wednesday.
The year 2015 is not a leap year, and New Year's Day falls on January 1, which is a Thursday.
The year 2016 is a leap year, and New Year's Day falls on January 1, which is a Friday.
The year 2017 is not a leap year, and New Year's Day falls on January 1, which is a Saturday.
The year 2018 is not a leap year, and New Year's Day falls on January 1, which is a Sunday.
The year 2019 is not a leap year, and New Year's Day falls on January 1, which is a Tuesday.
The year 2020 is a leap year, and New Year's Day falls on January 1, which is a Wednesday.
The year 2021 is not a leap year, and New Year's Day falls on January 1, which is a Friday.
The year 2022 is not a leap year, and New Year's Day falls on January 1, which is a Saturday.
The year 2023 is not a leap year, and New Year's Day falls on January 1, which is a Sunday.
The year 2024 is a leap year, and New Year's Day falls on January 1, which is a Monday.
The year 2025 is not a leap year, and New Year's Day falls on January 1, which is a Tuesday.
The year 2026 is not a leap year, and New Year's Day falls on January 1, which is a Wednesday
  Person 3 answered: No
    Reasoning: The year 2000 is not a leap year, and New Year's Day falls on January 1, which is a Saturday.
The year 2001 is a leap year, and New Year's Day falls on January 1, which is a Sunday.
The year 2002 is not a leap year, and New Year's Day falls on January 1, which is a Tuesday.
The year 2003 is not a leap year, and New Year's Day falls on January 1, which is a Wednesday.
The year 2004 is a leap year, and New Year's Day falls on January 1, which is a Friday.
The year 2005 is not a leap year, and New Year's Day falls on January 1, which is a Saturday.
